Method,Balanced accuracy,Macro-F1,MCC,AUROC OvR,AUPRC OvR
L2 logistic,"0.696 (0.674, 0.715)","0.700 (0.681, 0.718)","0.614 (0.597, 0.630)","0.931 (0.925, 0.937)","0.785 (0.757, 0.811)"
LogStruct STRING-700,"0.670 (0.645, 0.695)","0.667 (0.641, 0.694)","0.594 (0.562, 0.627)","0.921 (0.913, 0.928)","0.756 (0.741, 0.772)"
Fixed STRING-700,"0.670 (0.645, 0.695)","0.667 (0.641, 0.694)","0.593 (0.561, 0.629)","0.921 (0.913, 0.928)","0.756 (0.741, 0.772)"
Most frequent,"0.200 (0.200, 0.200)","0.114 (0.114, 0.114)","0.000 (0.000, 0.000)","0.500 (0.500, 0.500)","0.200 (0.200, 0.200)"
