Method,Balanced accuracy,Top-5 accuracy,Macro-F1,MCC,AUROC OvR,AUPRC OvR
L2 logistic,"0.560 (0.542, 0.579)","0.928 (0.927, 0.928)","0.478 (0.467, 0.489)","0.515 (0.508, 0.521)","0.909 (0.906, 0.912)","0.527 (0.513, 0.542)"
LogStruct identity,"0.559 (0.550, 0.571)","0.944 (0.941, 0.947)","0.597 (0.590, 0.608)","0.699 (0.691, 0.704)","0.928 (0.925, 0.931)","0.631 (0.622, 0.642)"
LogStruct STRING-700,"0.558 (0.555, 0.562)","0.944 (0.942, 0.947)","0.599 (0.595, 0.604)","0.703 (0.697, 0.710)","0.929 (0.926, 0.931)","0.636 (0.629, 0.644)"
Most frequent,"0.056 (0.056, 0.056)","0.562 (0.562, 0.562)","0.036 (0.036, 0.036)","0.000 (0.000, 0.000)","0.500 (0.500, 0.500)","0.056 (0.056, 0.056)"
